tweet_id,created_at,_id,like_counts,content,crawl_time
GFplcu3WU,2018-10-24 17:10:07,4298694960361922,1754,大学都这样做多好，很多大学就是怕担责任拼命包庇，你看现在人家南大积极回应，真正怪学校的人不多[鼓掌][鼓掌],1680441947
GFplcu3WU,2018-10-24 17:03:21,4298693257993303,1209,南大“不合群”，举报了[二哈],1680441947
GFplcu3WU,2018-10-24 16:59:04,4298692184469493,878,比某些大学强👍🏻,1680441947
GFplcu3WU,2018-10-24 17:42:59,4298703232260443,457,南大果然很爱惜羽毛。致敬,1680441947
GFplcu3WU,2018-10-24 18:55:07,4298721384032125,298,川大：我们不会解决问题的 我们解决提出问题的人,1680441947
GFplcu3WU,2018-10-24 17:42:57,4298703223499003,270,给南大点赞，很欣慰自己明年能去南大读研～,1680441947
GFplcu3WU,2018-10-24 17:42:22,4298703076095943,203,查，亡教授，不查，亡科学界,1680441947
GFplcu3WU,2018-10-24 17:17:31,4298696822577737,106,不拖泥带水，动多快，有态度，南大就是南大[中国赞][中国赞][中国赞],1680441947
GFplcu3WU,2018-10-24 17:18:25,4298697049499079,82,哪像我们学校，一点事情就从上到下打招呼，叫不要声张，败坏学校名声,1680441947
GFplcu3WU,2018-10-24 17:22:54,4298698176874083,75,真的速度快[喵喵][喵喵][喵喵],1680441947
GFplcu3WU,2018-10-24 16:56:42,4298691584714214,46,有点巧 http://t.cn/EZUcYJ2,1680441947
GFplcu3WU,2018-10-24 17:38:39,4298702140923226,26,[二哈]这才是对的态度,1680441947
GFplcu3WU,2018-10-24 17:03:54,4298693400486224,22,中国的教育应该培养孩子的独立思考能力，各抒己见、求同存异的思维方式应当从小培养；而不是像生产螺丝母似的批量统一口径生产。如此才能减少此类抄袭事件的发生[污],1680441964
GFplcu3WU,2018-10-24 18:09:52,4298709996411880,19,为我南点赞,1680441947
GFplcu3WU,2018-10-24 18:59:24,4298722462500789,18,南大果然是南大，什么河北科技大学学着点，非主观造假哈哈,1680441964
GFplcu3WU,2018-10-24 18:37:06,4298716850441475,16,正面回应，这才是大学应有的态度,1680441964
GFplcu3WU,2018-10-24 21:44:18,4298763961044605,12,天天说学生不让抄袭，要查重复率，是时候查查教授们的抄袭了，一碗水端平，不然你永远不知道多少滥竽充数🙃🙃,1680441964
GFplcu3WU,2018-10-24 19:58:10,4298737251863772,11,以后让孩子考南大,1680441947
GFplcu3WU,2018-10-24 19:09:01,4298724887363340,10,诚朴雄伟，励学敦行[耶][耶],1680441964
GFplcu3WU,2018-10-24 18:40:22,4298717672866238,9,南大、清华、哈佛全出事儿了[费解],1680441964
GFplcu3WU,2018-10-24 18:38:04,4298717094125824,8,这只是冰山一角，真正做学术的人，少之又少,1680441964
GFplcu3WU,2018-10-24 18:43:29,4298718457145228,7,南大研究生很好[哈哈],1680441964
GFplcu3WU,2018-10-24 18:56:45,4298721799863140,7,这样的害群之马应该坚决铲除，决不姑息,1680441964
GFplcu3WU,2018-10-24 18:36:25,4298716682682821,6,这才叫棒,1680441964
GFplcu3WU,2018-10-24 19:37:15,4298731988405291,6,南大[心][爱你],1680441964
GFplcu3WU,2018-10-24 18:13:49,4298710991314986,6,林子大了什么鸟都有，大学也一样，可以理解。,1680441964
GFplcu3WU,2018-10-24 17:11:58,4298695426198247,5,师德不端不能聘用,1680441978
GFplcu3WU,2018-10-25 08:56:02,4298933008095970,4,对此态度给个赞,1680441964
GFplcu3WU,2018-10-24 18:38:19,4298717157180419,4,大学，国之重器，应慎重以待,1680441964
GFplcu3WU,2018-10-24 19:06:05,4298724143865544,3,最后日期没居中 看着难受,1680441964
GFplcu3WU,2019-02-17 17:37:52,4340738940487182,3,看了翟天临事件后，我想说，NJU果然还是我心目中的NJU。,1680441964
GFplcu3WU,2018-10-24 17:40:25,4298702589850122,3,师德 已堪忧,1680441978
GFplcu3WU,2018-11-22 16:57:08,4309200941514428,3,所以一个月了，调查结果呢？,1680441978
GFplcu3WU,2018-10-25 16:11:17,4299042542441024,3,国内排名前十的学校，就要有做大哥的样子。,1680441978
