tweet_id,weighted_mean
GFplcu3WU,0.8823337900440462
GaRDRahC6,0.07588208016808506
GaVUmodao,-0.44736464081216537
Gpp686uXS,0.2099432097411751
H9ttovdft,-0.4110614520935666
HD7Tacdz0,0.5504916736418816
HEydnk3Bd,0.8701653122843918
HFjgRh7Sy,0.8425102140405347
ICyHU5YSl,-0.2047923817669635
IDsGWARJs,0.07549730762271122
IFHK7gym7,0.387544063803049
Io6pMhCFm,-0.14845971415267226
IoQNhzBKy,0.22300214871698135
J1gRiyLAu,0.7722418023509934
J8CmR8zwf,0.4356815132771463
J8zR7pGvA,0.22820399299782596
JBbM3bs8Z,0.14787049262151813
JbWt79Lzy,0.7904690709786809
JlDDLl5Dg,0.2776784282617622
JoXXvhwwV,0.9535869695285983
JoXf00tap,0.99466463870557
JzZ5moYdL,0.15398557179300848
KkDDY5Wp6,-0.6777887067983065
KkLPBf6F5,-0.29262505803040434
LAxTPBkO5,0.8474536554621754
LE5n091bP,0.1341111180300787
Lxf4ZFp0I,0.14840618438783446
LxqLO5jL0,0.6351668772749182
MxU0gdVSX,0.9166190392407441
